NAME,B19083_001E,state,county
"Hillsborough County, Florida",0.4829,12,57
"Holmes County, Florida",0.434,12,59
"Indian River County, Florida",0.5015,12,61
"Jackson County, Florida",0.4523,12,63
"Jefferson County, Florida",0.4602,12,65
"Lafayette County, Florida",0.3954,12,67
"Lake County, Florida",0.4287,12,69
"Lee County, Florida",0.4761,12,71
"Leon County, Florida",0.4993,12,73
"Levy County, Florida",0.4683,12,75
"Liberty County, Florida",0.4365,12,77
"Madison County, Florida",0.4417,12,79
"Manatee County, Florida",0.4761,12,81
"Marion County, Florida",0.4484,12,83
"Martin County, Florida",0.513,12,85
"Miami-Dade County, Florida",0.5134,12,86
"Monroe County, Florida",0.5207,12,87
"Nassau County, Florida",0.4349,12,89
"Okaloosa County, Florida",0.4358,12,91
"Okeechobee County, Florida",0.4611,12,93
"Orange County, Florida",0.479,12,95
"Osceola County, Florida",0.4328,12,97
"Palm Beach County, Florida",0.5188,12,99
"Pasco County, Florida",0.4601,12,101
"Pinellas County, Florida",0.4883,12,103
"Polk County, Florida",0.448,12,105
"Putnam County, Florida",0.4757,12,107
"St. Johns County, Florida",0.4561,12,109
"St. Lucie County, Florida",0.4362,12,111
"Santa Rosa County, Florida",0.4205,12,113
"Sarasota County, Florida",0.501,12,115
"Seminole County, Florida",0.4467,12,117
"Sumter County, Florida",0.4228,12,119
"Suwannee County, Florida",0.4355,12,121
"Taylor County, Florida",0.5251,12,123
"Union County, Florida",0.4556,12,125
"Volusia County, Florida",0.448,12,127
"Wakulla County, Florida",0.4111,12,129
"Walton County, Florida",0.5102,12,131
"Washington County, Florida",0.4417,12,133
"Appling County, Georgia",0.4619,13,1
"Atkinson County, Georgia",0.4227,13,3
"Bacon County, Georgia",0.4759,13,5
"Baker County, Georgia",0.4944,13,7
"Baldwin County, Georgia",0.5382,13,9
"Banks County, Georgia",0.4166,13,11
"Barrow County, Georgia",0.3885,13,13
"Bartow County, Georgia",0.4082,13,15
"Ben Hill County, Georgia",0.4806,13,17
"Berrien County, Georgia",0.4649,13,19
"Bibb County, Georgia",0.5186,13,21
"Bleckley County, Georgia",0.4871,13,23
"Brantley County, Georgia",0.4498,13,25
"Brooks County, Georgia",0.5074,13,27
"Bryan County, Georgia",0.4273,13,29
"Bulloch County, Georgia",0.4849,13,31
"Burke County, Georgia",0.5394,13,33
"Butts County, Georgia",0.4182,13,35
"Calhoun County, Georgia",0.4949,13,37
"Camden County, Georgia",0.4035,13,39
"Candler County, Georgia",0.4574,13,43
"Carroll County, Georgia",0.4334,13,45
"Catoosa County, Georgia",0.4311,13,47
"Charlton County, Georgia",0.4615,13,49
"Chatham County, Georgia",0.4726,13,51
"Chattahoochee County, Georgia",0.3695,13,53
"Chattooga County, Georgia",0.4255,13,55
"Cherokee County, Georgia",0.4082,13,57
"Clarke County, Georgia",0.5061,13,59
"Clay County, Georgia",0.4411,13,61
"Clayton County, Georgia",0.4209,13,63
"Clinch County, Georgia",0.4825,13,65
"Cobb County, Georgia",0.4467,13,67
"Coffee County, Georgia",0.4627,13,69
"Colquitt County, Georgia",0.4765,13,71
"Columbia County, Georgia",0.4037,13,73
"Cook County, Georgia",0.4771,13,75
"Coweta County, Georgia",0.4134,13,77
"Crawford County, Georgia",0.4646,13,79
"Crisp County, Georgia",0.4988,13,81
"Dade County, Georgia",0.449,13,83
"Dawson County, Georgia",0.4106,13,85
"Decatur County, Georgia",0.4798,13,87
"DeKalb County, Georgia",0.4954,13,89
"Dodge County, Georgia",0.4692,13,91
"Dooly County, Georgia",0.4634,13,93
"Dougherty County, Georgia",0.4889,13,95
"Douglas County, Georgia",0.4192,13,97
"Early County, Georgia",0.4584,13,99
